Ranking,Name,Team,PM,Y.C.,R.C.
1,Pau 'ZZ' Ruiz,Aniquiladores FC,12,4,0
1,Pau 'ZZ' Ruiz,Aniquiladores FC,12,4,0
1,David Barral,1K FC,11,4,1
2,Alberto Lopo,PIO FC,11,3,0
2,David Barral,1K FC,11,3,1
2,Ian González,Los Troncos FC,9,3,1
3,Ian González,Los Troncos FC,9,3,1
3,Alberto Lopo,PIO FC,11,3,0
5,José Segovia,Jijantes FC,12,2,1
5,Marc Granero,1K FC,13,2,0
5,Carlos Torrentbó,El Barrio,14,2,0
5,Ferran Corominas,Kunisports,12,2,0
5,Román Alegre,Saiyans FC,8,2,0
5,Martín Mantovani,El Barrio,13,2,0
5,Carlos Corvo,PIO FC,12,2,0
5,Román Golobart,Jijantes FC,12,2,0
5,Gabriel Cichero,Ultimate Móstoles,3,2,0
5,Marc Torrejón,1K FC,10,2,0
5,Lulu Rodríguez,Saiyans FC,4,2,1
5,Franky Purtí,Rayo de Barcelona,10,2,0
5,Gabriel Cichero,Ultimate Móstoles,3,2,0
5,Franky Purtí,Rayo de Barcelona,10,2,0
5,Carlos Torrentbó,El Barrio,14,2,0
5,Román Alegre,Saiyans FC,8,2,0
5,Martín Mantovani,El Barrio,13,2,0
5,Carlos Corvo,PIO FC,12,2,0
5,Román Golobart,Jijantes FC,12,2,0
5,Marc Torrejón,1K FC,10,2,0
5,Lulu Rodríguez,Saiyans FC,4,2,1
14,José Segovia,Jijantes FC,12,1,1
14,David López,Jijantes FC,12,1,0
14,Raúl Lao,Los Troncos FC,10,1,0
14,Gio Ferinu,Ultimate Móstoles,12,1,0
14,Roger Carbó,xBuyer Team,13,1,0
14,Aleix Massegú,Ultimate Móstoles,7,1,1
14,Cristian Ubón,Ultimate Móstoles,12,1,0
14,Oriol Boada,Saiyans FC,13,1,0
14,Lluís Alsina,1K FC,13,1,0
14,Joel Macarulla,Aniquiladores FC,13,1,0
14,Mario León,Jijantes FC,1,1,0
14,Edgar Álvaro,Rayo de Barcelona,10,1,0
14,Dorkis Pérez,Porcinos FC,12,1,0
14,Daniel Pérez,xBuyer Team,13,1,0
14,Joan Poch,Saiyans FC,12,1,0
14,Iñaki Villalba,Kunisports,12,1,0
14,Daniel Santiago,Rayo de Barcelona,11,1,0
14,Marc Granero,1K FC,13,1,0
14,Joel Bañuls,Ultimate Móstoles,12,1,0
14,Miki Fernández,xBuyer Team,14,1,0
14,Ferran Corominas,Kunisports,12,1,0
14,Sergi Sauras,Jijantes FC,11,1,0
14,Alberto Bueno,Porcinos FC,12,1,0
14,Javi Espinosa,Porcinos FC,12,1,0
14,Fran Hernández,Aniquiladores FC,10,1,0
14,Ismael Cabello,PIO FC,11,1,0
14,Carlitos González,Porcinos FC,7,1,0
14,David López,Saiyans FC,13,1,0
14,Adri Gimeno,xBuyer Team,14,1,0
14,Borja Fernández,1K FC,9,1,0
14,Gerard 'Hulk' Artigas,PIO FC,6,1,0
14,Gerard Nolla,El Barrio,7,1,0
14,Adrià Granell,Los Troncos FC,2,1,0
14,Tom Diawara,Jijantes FC,9,1,0
14,Alexis Ruano,1K FC,1,1,0
14,Pablo Zabaleta,Kunisports,4,1,0
17,Joan Poch,Saiyans FC,12,1,0
17,Iñaki Villalba,Kunisports,12,1,0
17,Daniel Santiago,Rayo de Barcelona,11,1,0
17,Joel Bañuls,Ultimate Móstoles,12,1,0
17,Sergio Ródenas,Rayo de Barcelona,2,1,0
17,Miki Fernández,xBuyer Team,14,1,0
17,Sergi Sauras,Jijantes FC,11,1,0
17,Gio Ferinu,Ultimate Móstoles,12,1,0
17,Alberto Bueno,Porcinos FC,12,1,0
17,Javi Espinosa,Porcinos FC,12,1,0
17,Fran Hernández,Aniquiladores FC,10,1,0
17,Ismael Cabello,PIO FC,11,1,0
17,Carlitos González,Porcinos FC,7,1,0
17,Adri Gimeno,xBuyer Team,14,1,0
17,Borja Fernández,1K FC,9,1,0
17,Gerard 'Hulk' Artigas,PIO FC,6,1,0
17,Roger Carbó,xBuyer Team,13,1,0
17,Adrià Granell,Los Troncos FC,2,1,0
17,Tom Diawara,Jijantes FC,9,1,0
17,Carlos de la Nava,Saiyans FC,1,1,0
17,Alexis Ruano,1K FC,1,1,0
17,Pablo Zabaleta,Kunisports,4,1,0
17,David López,Jijantes FC,12,1,0
17,Aleix Massegú,Ultimate Móstoles,7,1,1
17,Cristian Ubón,Ultimate Móstoles,12,1,0
17,Oriol Boada,Saiyans FC,13,1,0
17,Lluís Alsina,1K FC,13,1,0
17,Joel Macarulla,Aniquiladores FC,13,1,0
17,Mario León,Jijantes FC,1,1,0
17,Edgar Álvaro,Rayo de Barcelona,10,1,0
17,Xavi Molas,1K FC,13,1,0
17,Dorkis Pérez,Porcinos FC,12,1,0
17,Marc Arús,xBuyer Team,3,1,0
17,Carlos Val,Kunisports,12,1,0
17,Daniel Pérez,xBuyer Team,13,1,0
17,Raúl Lao,Los Troncos FC,10,1,0
17,Aleix Lage,Saiyans FC,13,1,0
