Ranking,Name,Team,PM,Y.C.,R.C.
1,Eric Jiménez,Rayo de Barcelona,0,3,0
2,Nadir Louah,Porcinos FC,6,2,1
2,Gabriel Cichero,Rayo de Barcelona,6,2,0
2,Aitor Vives,Los Troncos FC,8,2,1
2,Cesc Clotet,xBuyer Team,5,2,0
2,Víctor Mongil,Aniquiladores FC,0,2,0
2,Sergio Sánchez,Los Troncos FC,9,2,0
8,Sergi Aguilar,Kunisports,3,1,0
8,Joan Inés,Kunisports,5,1,0
8,Flavio Ruggeri,xBuyer Team,5,1,0
8,Javi Espinosa,Aniquiladores FC,8,1,0
8,Fran Hernández,Kunisports,5,1,0
8,Augusto Fernández,Saiyans FC,6,1,0
8,Jan Coca,Saiyans FC,6,1,0
8,Gabriel Vidal,El Barrio,7,1,0
8,Aleix Martí,Ultimate Móstoles,7,1,0
8,Eloy Pizarro,Ultimate Móstoles,7,1,0
8,Albert Dalmau,1K FC,5,1,0
8,David Cárdenas,Porcinos FC,7,1,0
8,Óscar Coll,Porcinos FC,7,1,0
8,Pablo Fernández,Saiyans FC,6,1,0
8,David López,Jijantes FC,5,1,0
8,Adri Gimeno,xBuyer Team,0,1,0
8,Ismael Aguilar,1K FC,5,1,0
8,Marc Valiente,El Barrio,7,1,0
8,Gilles Vidal,El Barrio,7,1,0
8,Pol Zapata,Aniquiladores FC,8,1,0
8,Carles Planas,Los Troncos FC,8,1,0
8,Joan Verdú,Los Troncos FC,9,1,0
8,Mario Reyes,Aniquiladores FC,8,1,0
8,Aleix Lage,Ultimate Móstoles,7,1,0
8,Ian González,Los Troncos FC,9,1,0
