Ranking,Name,Team,PM,F.Com
1,Martín Mantovani,El Barrio,13,19
2,Roger Carbó,xBuyer Team,13,18
2,Pau 'ZZ' Ruiz,Aniquiladores FC,12,18
4,Álvaro Arché,El Barrio,14,14
5,Carlos Torrentbó,El Barrio,14,13
5,Román Alegre,Saiyans FC,8,13
5,Román Golobart,Jijantes FC,12,13
5,David Barral,1K FC,11,13
9,Ian González,Los Troncos FC,9,12
9,Gerard 'Hulk' Artigas,PIO FC,6,12
11,Gio Ferinu,Ultimate Móstoles,12,11
11,Llur Genesca,Saiyans FC,10,11
11,Lucca Ribeiro,Saiyans FC,10,11
11,Flavio Ruggeri,Porcinos FC,11,11
15,Jacobo Liencres,Porcinos FC,12,10
15,Pablo Beguer,xBuyer Team,14,10
15,Daniel Pérez,xBuyer Team,13,10
15,Marc Granero,1K FC,13,10
15,Ferran Corominas,Kunisports,12,10
15,Javi Espinosa,Porcinos FC,12,10
15,Eric Jiménez,Rayo de Barcelona,11,10
22,David Soriano,Porcinos FC,12,9
22,Dorkis Pérez,Porcinos FC,12,9
22,Victor Hidalgo,xBuyer Team,14,9
25,Carlos Val,Kunisports,12,8
25,Iván López 'Cokita',1K FC,13,8
25,Franky Purtí,Rayo de Barcelona,10,8
25,Marcos Guerrero,1K FC,13,8
25,Dani Liñares,Rayo de Barcelona,8,8
25,Borja Fernández,1K FC,9,8
25,Antoni Hernández,xBuyer Team,6,8
32,Víctor Torres,PIO FC,12,7
32,Marc Galvany,Saiyans FC,13,7
32,Jordi Ros,Jijantes FC,13,7
32,Cristian Ubón,Ultimate Móstoles,12,7
32,Edgar Álvaro,Rayo de Barcelona,10,7
32,Joan Poch,Saiyans FC,12,7
32,Joan Inés,Kunisports,12,7
32,Mark Sorroche,Los Troncos FC,11,7
32,Marc Pluvins,PIO FC,12,7
32,Hugo Fraile,Porcinos FC,12,7
32,Uri Pons,Jijantes FC,13,7
32,Alberto Lopo,PIO FC,11,7
32,Víctor Oribe,Saiyans FC,6,7
45,David López,Jijantes FC,12,6
45,Aleix Massegú,Ultimate Móstoles,7,6
45,Oriol Boada,Saiyans FC,13,6
45,Guillem 'ZZ' Ruiz,Aniquiladores FC,13,6
45,Juanma González,Ultimate Móstoles,9,6
45,Iñaki Villalba,Kunisports,12,6
45,Oscar Rivero,PIO FC,12,6
45,Nadir Louah,Aniquiladores FC,13,6
45,Carlos Corvo,PIO FC,12,6
45,Augusto Fernández,Kunisports,8,6
45,Fernando Velillas,xBuyer Team,14,6
45,Dani Martí,Ultimate Móstoles,10,6
45,Cebri Queralt,1K FC,3,6
58,Feliu Torrus,Ultimate Móstoles,12,5
58,Gilles Vidal,El Barrio,14,5
58,Xavi Olaechea,PIO FC,12,5
58,Sergio Sánchez,Ultimate Móstoles,9,5
58,Carles Planas,Los Troncos FC,10,5
58,Mario Reyes,Aniquiladores FC,13,5
58,Aleix Lage,Saiyans FC,13,5
58,Joel Bañuls,Ultimate Móstoles,12,5
58,Benjamín Sierra,Kunisports,12,5
58,Alberto Bueno,Porcinos FC,12,5
58,Fran Hernández,Aniquiladores FC,10,5
58,Nico Pareja,El Barrio,12,5
58,Marc Torrejón,1K FC,10,5
58,Nando Quesada,Jijantes FC,11,5
72,Pau Mañé,Aniquiladores FC,13,4
72,Joan Verdú,Los Troncos FC,10,4
72,Pau Fernández,El Barrio,14,4
72,Carlos García,Kunisports,8,4
72,Iker López,El Barrio,14,4
72,Lluc Riera,Rayo de Barcelona,11,4
72,Raúl Ledo,1K FC,13,4
72,Sergi Sauras,Jijantes FC,11,4
72,Carlitos González,Porcinos FC,7,4
72,Iván Pérez,Jijantes FC,10,4
72,Adri Gimeno,xBuyer Team,14,4
72,Tom Diawara,Jijantes FC,9,4
72,Lulu Rodríguez,Saiyans FC,4,4
85,Gabriel Cichero,Ultimate Móstoles,3,3
85,Bernat Rovira,Aniquiladores FC,13,3
85,Roger Bonet,Saiyans FC,8,3
85,Lluís Alsina,1K FC,13,3
85,Joel Macarulla,Aniquiladores FC,13,3
85,Raúl Martínez,Jijantes FC,10,3
85,Aarón Ropero,PIO FC,12,3
85,Marc Pelaz,Los Troncos FC,11,3
85,Adrián Biboum,Los Troncos FC,9,3
85,Daniel Santiago,Rayo de Barcelona,11,3
85,Ruben G. Tremiño,Los Troncos FC,6,3
85,Ismael Cabello,PIO FC,11,3
85,Mauricio del Castillo,Kunisports,7,3
85,David López,Saiyans FC,13,3
85,Alexis García,xBuyer Team,7,3
85,Víctor Mongil,Rayo de Barcelona,11,3
85,Adrià Granell,Los Troncos FC,2,3
85,Raúl Morillo,Los Troncos FC,6,3
103,José Segovia,Jijantes FC,12,2
103,Raúl Lao,Los Troncos FC,10,2
103,Álex Campuzano,Kunisports,7,2
103,Cristian Valle,Porcinos FC,7,2
103,David Alba,Aniquiladores FC,12,2
103,Raúl Dorado,xBuyer Team,9,2
103,Xavi Molas,1K FC,13,2
103,Alejo García,PIO FC,9,2
103,Àlex Gutiérrez,Porcinos FC,5,2
103,Miki Fernández,xBuyer Team,14,2
103,Marino Gómez,El Barrio,12,2
103,Bruno Gumà,Rayo de Barcelona,10,2
103,Ibai Gómez,Jijantes FC,2,2
103,Diego de la Mata,Ultimate Móstoles,4,2
103,Gerard Verge,Ultimate Móstoles,9,2
103,Roger García,Saiyans FC,6,2
103,Cristian Gómez,Ultimate Móstoles,2,2
103,Antonio Pelegrín,Saiyans FC,1,2
103,Pablo Zabaleta,Kunisports,4,2
103,Emiliano Armenteros,Kunisports,1,2
103,Pablo Hernández,Rayo de Barcelona,5,2
124,Kilian Honorato,El Barrio,9,1
124,Joselete Blanco,Rayo de Barcelona,7,1
124,Sergi Aguilar,El Barrio,14,1
124,Xavi Garcia,Aniquiladores FC,12,1
124,Jadir Cirera,Saiyans FC,3,1
124,Javier Capilla,El Barrio,4,1
124,Mario León,Jijantes FC,1,1
124,Iván Nuevo,xBuyer Team,3,1
124,Bernat Juárez,El Barrio,13,1
124,Jonathan A. Jiménez,Aniquiladores FC,4,1
124,Iu Morral,Los Troncos FC,10,1
124,Steven Rodríguez,Rayo de Barcelona,10,1
124,Adrià 'Capi' Gutiérrez,xBuyer Team,13,1
124,Franc Cortés,Jijantes FC,8,1
124,Ricardo López,1K FC,11,1
124,Víctor Molina,Jijantes FC,10,1
