Ranking,Name,Team,PM,TG,Gx2,Pen,%Pen,PSO,%PSO,OW
1,Dani Liñares,Saiyans FC,14,21,1,7,77.78,2,50,0
2,Marc Granero,1K FC,12,17,0,2,100,2,60,0
3,Cristian Ubón,Ultimate Móstoles,14,12,2,7,100,0,50,0
4,Edgar Álvaro,Los Troncos FC,13,11,2,1,100,0,33.33,0
4,Marc Pelaz,Jijantes FC,13,11,2,1,100,1,33.33,0
4,Javi Espinosa,Aniquiladores FC,12,11,2,5,71.43,0,0,0
4,Nadir Louah,Porcinos FC,13,11,1,0,0,1,40,0
4,Óscar Coll,Porcinos FC,13,11,1,1,100,1,33.33,0
4,Pablo Hernández,Porcinos FC,11,11,0,2,100,0,0,0
11,Gilles Vidal,El Barrio,12,8,3,0,0,0,0,0
11,Pablo Beguer,xBuyer Team,12,8,0,0,0,0,100,0
11,Iván Pérez,Kunisports,12,8,2,1,100,0,0,0
15,Roger Carbó,xBuyer Team,8,7,1,0,0,0,0,0
15,Fernando Velillas,xBuyer Team,13,7,3,2,100,0,33.33,0
15,Nando Quesada,Jijantes FC,13,7,0,1,33.33,0,0,0
15,Jero Martín,Saiyans FC,11,7,1,0,0,0,100,0
15,Alejandro Ortega,Aniquiladores FC,9,7,0,0,0,0,100,0
20,Lluís Alsina,1K FC,10,6,0,0,0,0,0,0
20,Franky Purtí,Rayo de Barcelona,11,6,1,0,0,2,40,0
20,Ferran Corominas,Ultimate Móstoles,14,6,1,0,0,0,33.33,0
20,Fuad El Amrani,xBuyer Team,5,6,0,0,0,1,66.67,0
20,Gerard Nolla,El Barrio,10,6,0,1,100,0,0,0
20,José 'Casi' Ruiz,Aniquiladores FC,12,6,1,0,0,0,0,0
26,Iván López 'Cokita',PIO FC,11,5,1,0,0,1,50,2
26,Álvaro Arché,El Barrio,12,5,0,0,0,0,0,0
26,Juanma González,xBuyer Team,11,5,1,0,0,1,33.33,0
26,Carlos Omabegho,PIO FC,11,5,1,0,0,0,0,1
