Ranking,Name,Team,PM,MVP
1,Cristian Ubón,El Barrio,13,6
2,Edgar Álvaro,Los Troncos FC,13,5
3,Juanma González,Ultimate Móstoles,12,4
3,Fran Hernández,Aniquiladores FC,13,4
5,Carlos Torrentbó,Kunisports,12,3
5,Marc Briones,Saiyans FC,12,3
5,Alberto Bueno,1K FC,10,3
5,Roger Carbó,Saiyans FC,13,3
5,Joan Verdú,Los Troncos FC,11,3
10,Joan Poch,xBuyer Team,12,2
10,Carlos Castro,xBuyer Team,12,2
10,Ferran Corominas,Kunisports,12,2
10,Carlos Corvo,PIO FC,6,2
10,Pol Zapata,Jijantes FC,10,2
15,José Segovia,Porcinos FC,12,1
15,Iñaki Villalba,xBuyer Team,12,1
15,Víctor Cócera,Kunisports,11,1
15,Mark Sorroche,1K FC,10,1
15,Ricardo López,1K FC,10,1
15,Ibai Gómez,Jijantes FC,6,1
15,Fuad El Amrani,xBuyer Team,7,1
15,Sergio 'Kun' Agüero,Kunisports,3,1
15,Uri Pons,Porcinos FC,8,1
15,Nadir Louah,Aniquiladores FC,9,1
15,Iván Pérez,Jijantes FC,5,1
15,Feliu Torrus,Saiyans FC,13,1
15,Gabriel Cichero,Rayo de Barcelona,12,1
15,Dani Pérez,Aniquiladores FC,14,1
15,Gilles Vidal,Aniquiladores FC,14,1
15,Jacobo Liencres,El Barrio,13,1
15,Pau 'ZZ' Ruiz,El Barrio,13,1
15,Jonathan Soriano,Jijantes FC,7,1
15,Carlos Val,PIO FC,10,1
15,Marc Pelaz,Rayo de Barcelona,10,1
15,Raúl Lao,Porcinos FC,12,1
15,Álvaro Arché,Ultimate Móstoles,12,1
15,Àlex Gutiérrez,Ultimate Móstoles,10,1
