Ranking,Name,Team,PM,Assist,KeyP
1,Pablo Beguer,xBuyer Team,12,10,7
2,Cristian Ubón,Ultimate Móstoles,14,6,4
3,Roger Carbó,xBuyer Team,8,5,2
3,Nadir Louah,Porcinos FC,13,5,2
3,Pablo Hernández,Porcinos FC,11,5,8
6,Feliu Torrus,Ultimate Móstoles,14,4,4
6,Fernando Velillas,xBuyer Team,13,4,4
6,Dani Liñares,Saiyans FC,14,4,2
6,Nando Quesada,Jijantes FC,13,4,4
6,Víctor Vidal,Ultimate Móstoles,14,4,7
11,Pol Zapata,Aniquiladores FC,12,3,3
11,Joan Verdú,Los Troncos FC,12,3,10
11,Àlex Gutiérrez,Porcinos FC,10,3,3
11,Iñaki Villalba,Kunisports,12,3,1
11,Javi Espinosa,Aniquiladores FC,12,3,14
11,Iván Pérez,Kunisports,12,3,2
11,Gerard Nolla,El Barrio,10,3,2
11,Aitor Vives,Los Troncos FC,13,3,9
11,Albert Dalmau,1K FC,12,3,3
11,Alejandro Ortega,Aniquiladores FC,9,3,4
11,Jordi Gómez,Kunisports,12,3,8
22,Marc Briones,Porcinos FC,9,2,3
22,Gio Ferinu,Saiyans FC,14,2,1
22,David Alba,Aniquiladores FC,12,2,4
22,Jacobo Liencres,Porcinos FC,13,2,0
22,Pau 'ZZ' Ruiz,El Barrio,11,2,0
22,Oriol Boada,El Barrio,7,2,1
22,Pol Lechuga,Rayo de Barcelona,9,2,2
22,Carles Planas,Los Troncos FC,13,2,8
22,Pau Fernández,El Barrio,12,2,4
22,Marc Pelaz,Jijantes FC,13,2,4
22,Álvaro Arché,El Barrio,12,2,4
22,Víctor Cócera,Kunisports,9,2,1
22,Joan Inés,Kunisports,9,2,1
22,Román Alegre,Rayo de Barcelona,10,2,1
22,Raúl Ledo,1K FC,12,2,0
22,Hugo Fraile,Rayo de Barcelona,11,2,2
22,Carlos Omabegho,PIO FC,11,2,3
22,Víctor Oribe,PIO FC,5,2,2
22,Dani 'Mini Bartu' Ruiz,PIO FC,11,2,4
22,Abraham González,1K FC,12,2,4
22,Jero Martín,Saiyans FC,11,2,1
22,Óscar Coll,Porcinos FC,13,2,4
22,Isaac Maldonado,Rayo de Barcelona,7,2,1
22,Adrià Escribano,Kunisports,12,2,1
22,Godbless Eribo,Porcinos FC,10,2,1
22,Marc Valiente,El Barrio,12,2,2
22,Carlos Ferres,Los Troncos FC,13,2,3
22,Adrián Frutos,Jijantes FC,13,2,1
50,Dani Pérez,Saiyans FC,14,1,2
50,Gilles Vidal,El Barrio,12,1,3
50,Aleix Massegú,Ultimate Móstoles,5,1,0
50,Lluís Alsina,1K FC,10,1,1
50,Edgar Álvaro,Los Troncos FC,13,1,4
50,Sergio Sánchez,Los Troncos FC,13,1,2
50,Carlos Val,Kunisports,12,1,3
50,Iván López 'Cokita',PIO FC,11,1,4
50,Aarón Ropero,PIO FC,11,1,1
50,Guillem 'ZZ' Ruiz,Aniquiladores FC,12,1,1
50,Mario Reyes,Aniquiladores FC,12,1,0
50,Franky Purtí,Rayo de Barcelona,11,1,1
50,Juanma González,xBuyer Team,11,1,2
50,Joan Poch,Rayo de Barcelona,9,1,3
50,Daniel Santiago,Rayo de Barcelona,11,1,3
50,Marc Pluvins,1K FC,12,1,2
50,Nico Pareja,Kunisports,8,1,4
50,Martín Mantovani,Saiyans FC,14,1,0
50,Diego de la Mata,Ultimate Móstoles,2,1,3
50,Eric Jiménez,Rayo de Barcelona,6,1,1
50,Dani Martí,Ultimate Móstoles,14,1,1
50,Jordi Martínez,Kunisports,9,1,5
50,Gabriel Vidal,El Barrio,12,1,3
50,Aleix Martí,Ultimate Móstoles,14,1,2
50,Alfons Serra,Saiyans FC,14,1,1
50,Eloy Pizarro,Ultimate Móstoles,7,1,0
50,José 'Casi' Ruiz,Aniquiladores FC,12,1,3
50,Eloy Amoedo,Porcinos FC,4,1,0
50,Gerard Vacas,El Barrio,12,1,3
50,John de la Cruz,1K FC,11,1,0
50,Albert Ruiz,1K FC,10,1,1
50,David Sánchez,Jijantes FC,9,1,0
50,Nico Santos,Porcinos FC,13,1,1
50,Pol Román,Rayo de Barcelona,11,1,0
50,Alberto Arnalot,1K FC,12,1,0
50,Carlos Contreras,Jijantes FC,12,1,2
50,Xavi Boniquet,Porcinos FC,2,1,1
50,Óscar Contreras,Rayo de Barcelona,11,1,2
50,Alberto de la Bella,Ultimate Móstoles,13,1,3
50,Manuel Agudo 'Nolito',Kunisports,2,1,0
50,Marc Jiménez,Aniquiladores FC,6,1,0
