Ranking,Name,Team,PM,Drib
1,Fuad El Amrani,xBuyer Team,14,108
2,Carlos Omabegho,PIO FC,11,59
3,Marc Granero,1K FC,11,58
4,Javi Espinosa,Aniquiladores FC,13,54
5,Gilles Vidal,El Barrio,12,50
6,David de la Víbora,1K FC,11,43
7,Fernando Velillas,Jijantes FC,14,42
8,Juanma González,xBuyer Team,14,41
9,Marc Pelaz,Jijantes FC,14,40
10,Roger Carbó,xBuyer Team,7,38
10,Pablo Beguer,Jijantes FC,13,38
12,Joan Verdú,Los Troncos FC,12,36
12,Àlex Gutiérrez,Porcinos FC,12,36
14,Pablo Fernández,Saiyans FC,11,34
15,Nico Santos,Porcinos FC,11,30
16,Guillem 'ZZ' Ruiz,Aniquiladores FC,13,29
16,Diego de la Mata,Ultimate Móstoles,12,29
18,Jero Martín,PIO FC,11,28
18,Robert Vallribera,Kunisports,8,28
18,Yuri de Souza,Rayo de Barcelona,11,28
18,Pol Ortega,Saiyans FC,6,28
22,Carlos Contreras,xBuyer Team,14,27
23,Luis García,Jijantes FC,10,25
24,Nadir Louah,Porcinos FC,10,24
25,Iván Pérez,Kunisports,11,23
25,Adrián Espinar,Jijantes FC,14,23
27,Edgar Álvaro,Los Troncos FC,11,21
28,Lluís Alsina,1K FC,11,20
28,Franky Purtí,Rayo de Barcelona,11,20
28,Álvaro Arché,El Barrio,12,20
28,Aleix Martí,Ultimate Móstoles,11,20
28,Roger Serrano,El Barrio,12,20
28,Aridai Cabrera,PIO FC,9,20
28,Sergio 'Chechi' Costa,xBuyer Team,7,20
35,Ferran Corominas,Ultimate Móstoles,11,19
35,Aitor Vives,Los Troncos FC,12,19
35,Iker Alcarazo,xBuyer Team,14,19
38,Cristian Ubón,Ultimate Móstoles,12,18
38,Augusto Fernández,Saiyans FC,9,18
38,Aleix Hernando,Porcinos FC,12,18
38,Juan Pedro Nzo,Rayo de Barcelona,8,18
42,Sergio 'Kun' Agüero,Kunisports,4,17
42,Jordi Gómez,Kunisports,10,17
44,Dani Liñares,Saiyans FC,11,16
44,Sergi Gestí,Saiyans FC,5,16
44,Cristian Faura,PIO FC,10,16
44,Nauzet Hernández,Saiyans FC,11,16
48,Fran Hernández,Aniquiladores FC,13,15
48,Gerard Nolla,Porcinos FC,10,15
48,Miraash Imthiyaz,1K FC,11,15
48,Álex Medina,xBuyer Team,11,15
52,Carlos Val,Kunisports,11,14
52,Mark Sorroche,Los Troncos FC,12,14
52,Víctor Oribe,xBuyer Team,10,14
52,Alfons Serra,Saiyans FC,11,14
52,Carlos Ferres,Los Troncos FC,12,14
52,Alexander Gastón,Kunisports,6,14
58,Lucca Ribeiro,Saiyans FC,8,13
58,José 'Casi' Ruiz,Aniquiladores FC,12,13
58,Isaac Maldonado,Rayo de Barcelona,5,13
58,Adrián Frutos,Jijantes FC,13,13
58,Paco Tomás,1K FC,11,13
63,Feliu Torrus,Jijantes FC,13,12
63,Jacobo Liencres,PIO FC,8,12
63,Oriol Boada,El Barrio,12,12
63,Carlos Torrentbó,Kunisports,10,12
63,Martín Mantovani,Saiyans FC,10,12
63,Ao Kishimoto,Rayo de Barcelona,10,12
63,Hichem Boumedol,Aniquiladores FC,11,12
63,Kelvin Oliveira,Porcinos FC,2,12
71,Kilian Honorato,Ultimate Móstoles,11,11
71,David Alba,Aniquiladores FC,13,11
71,Albert Dalmau,1K FC,11,11
71,Pablo Gómez,PIO FC,6,11
71,Álex 'Capi' Domingo,Ultimate Móstoles,12,11
71,Guillem Jaime,Rayo de Barcelona,3,11
77,Sergio Sánchez,Los Troncos FC,11,10
77,Mikel Rico,Porcinos FC,12,10
79,Gio Ferinu,Saiyans FC,11,9
79,Marc Pluvins,1K FC,8,9
79,David Sánchez,Rayo de Barcelona,11,9
79,Iker González,El Barrio,12,9
79,Pol Román,Rayo de Barcelona,11,9
79,Fran Rodríguez,Los Troncos FC,11,9
79,Mario 'Lepetit' Rodríguez,El Barrio,7,9
79,Stelios Orgianos,Kunisports,11,9
79,Xabier Apalategi,Aniquiladores FC,7,9
79,Xavi Pluvins,El Barrio,9,9
89,Álex Campuzano,Kunisports,11,8
89,Daniel Santiago,Rayo de Barcelona,10,8
89,Hugo Fraile,Aniquiladores FC,13,8
89,Izan Espinosa,Los Troncos FC,9,8
93,Mario Reyes,Aniquiladores FC,12,7
93,Marcos Guerrero,1K FC,9,7
93,Raúl Ledo,1K FC,9,7
93,Gabriel Vidal,Aniquiladores FC,8,7
93,Daniel Plaza,Saiyans FC,8,7
93,Eric Lobato,1K FC,8,7
93,Manuel Linares,Jijantes FC,9,7
93,Diego Jiménez,Porcinos FC,12,7
101,David Soriano,Porcinos FC,12,6
101,Aarón Ropero,PIO FC,11,6
101,Daniel Pérez,xBuyer Team,14,6
101,Joel Bañuls,Ultimate Móstoles,12,6
101,David López,PIO FC,10,6
101,Marc Torrejón,1K FC,11,6
101,Joan Luque,Porcinos FC,6,6
101,Marc Pilar,Jijantes FC,14,6
101,Pablo López,Jijantes FC,7,6
101,Roger Panadés,xBuyer Team,3,6
101,David Reyes,Los Troncos FC,1,6
112,Iván López 'Cokita',PIO FC,11,5
112,Nico Pareja,Rayo de Barcelona,6,5
112,Manuel Martín,Los Troncos FC,12,5
112,Nil Ayats,Jijantes FC,14,5
112,Alberto de la Bella,Ultimate Móstoles,10,5
112,Andreas Vaz,Porcinos FC,2,5
118,Carles Planas,Los Troncos FC,10,4
118,Sergio Juste,Jijantes FC,9,4
118,Antonio 'Ñito' Martín,El Barrio,10,4
118,Daniel Cáceres,Kunisports,2,4
118,Acorán Barrera,Rayo de Barcelona,3,4
118,Borja Mir,Los Troncos FC,3,4
118,Marc Grifell,Jijantes FC,5,4
118,Raúl Juliá,Kunisports,2,4
126,Jordi Ros,Aniquiladores FC,13,3
126,Roger de la Villa,Rayo de Barcelona,5,3
126,Noel López,Kunisports,10,3
126,Aleix Lage,Ultimate Móstoles,12,3
126,Ian González,Los Troncos FC,12,3
126,Xavi Liébanas,Aniquiladores FC,2,3
126,Eloy Pizarro,Ultimate Móstoles,11,3
126,Pablo Hernández,Ultimate Móstoles,2,3
126,Isaac Padilla,Los Troncos FC,4,3
135,Dani Pérez,Saiyans FC,10,2
135,Pau 'ZZ' Ruiz,El Barrio,9,2
135,Pau Fernández,El Barrio,12,2
135,Abraham González,Rayo de Barcelona,7,2
135,Alberto Arnalot,1K FC,11,2
135,Víctor Vidal,Ultimate Móstoles,12,2
135,Marc Valiente,El Barrio,9,2
142,Pol Lechuga,Rayo de Barcelona,11,1
142,Adrià 'Capi' Gutiérrez,xBuyer Team,12,1
142,Román Alegre,Rayo de Barcelona,7,1
142,Adri Gimeno,xBuyer Team,1,1
142,Víctor Mongil,PIO FC,11,1
142,Dani Martí,Ultimate Móstoles,12,1
142,Dani 'Mini Bartu' Ruiz,PIO FC,6,1
142,Jandro Megía,PIO FC,3,1
142,Álex Cubedo,Los Troncos FC,5,1
142,Eloy Amoedo,Aniquiladores FC,9,1
142,Gerard Vacas,El Barrio,12,1
142,Adrià Escribano,Porcinos FC,10,1
142,Pere Martínez,xBuyer Team,4,1
142,Adrià Parra,El Barrio,1,1
142,David Pérez Picón,xBuyer Team,5,1
142,Miguel Ángel de la Fuente,Ultimate Móstoles,1,1
142,Pol Agustí,Los Troncos FC,3,1
142,Rafa Leva,Rayo de Barcelona,11,1
142,Genís Soldevila,Jijantes FC,1,1
142,Adrià Parera,Saiyans FC,3,1
142,Ian Benamon,El Barrio,1,1
142,Alex Llamas,Rayo de Barcelona,1,1
