Ranking,Name,Team,PM,S,ST,SW
1,Marc Granero,1K FC,11,87,48,5
2,Fuad El Amrani,xBuyer Team,14,71,45,1
3,Marc Pelaz,Jijantes FC,14,62,44,2
4,Gilles Vidal,El Barrio,12,61,49,2
5,Nadir Louah,Porcinos FC,10,56,37,2
5,Fernando Velillas,Jijantes FC,14,56,36,2
7,Fran Hernández,Aniquiladores FC,13,53,29,1
8,Dani Liñares,Saiyans FC,11,51,28,1
9,Jordi Gómez,Kunisports,10,48,28,2
10,Javi Espinosa,Aniquiladores FC,13,47,36,2
11,Edgar Álvaro,Los Troncos FC,11,46,27,2
11,Joan Verdú,Los Troncos FC,12,46,30,4
13,Álvaro Arché,El Barrio,12,44,25,1
14,Cristian Ubón,Ultimate Móstoles,12,41,31,0
15,Roger Carbó,xBuyer Team,7,38,26,2
16,Aridai Cabrera,PIO FC,9,37,21,2
17,Yuri de Souza,Rayo de Barcelona,11,36,30,2
18,Ferran Corominas,Ultimate Móstoles,11,34,24,2
18,Adrián Espinar,Jijantes FC,14,34,26,0
20,Gerard Nolla,Porcinos FC,10,33,23,1
20,Carlos Contreras,xBuyer Team,14,33,23,2
22,Luis García,Jijantes FC,10,32,21,2
23,Guillem 'ZZ' Ruiz,Aniquiladores FC,13,31,21,1
23,Diego de la Mata,Ultimate Móstoles,12,31,15,2
25,Àlex Gutiérrez,Porcinos FC,12,30,18,2
25,Víctor Oribe,xBuyer Team,10,30,21,2
27,Aitor Vives,Los Troncos FC,12,29,20,2
27,Robert Vallribera,Kunisports,8,29,14,2
27,Sergio 'Chechi' Costa,xBuyer Team,7,29,17,1
30,Pablo Beguer,Jijantes FC,13,28,14,1
30,Jero Martín,PIO FC,11,28,18,1
32,Carles Planas,Los Troncos FC,10,26,16,1
32,Aleix Martí,Ultimate Móstoles,11,26,19,0
34,José 'Casi' Ruiz,Aniquiladores FC,12,23,12,0
34,Pablo Fernández,Saiyans FC,11,23,18,0
36,Albert Dalmau,1K FC,11,22,11,0
36,Iker Alcarazo,xBuyer Team,14,22,15,1
36,Roger Serrano,El Barrio,12,22,15,1
39,Juanma González,xBuyer Team,14,21,15,0
39,Hugo Fraile,Aniquiladores FC,13,21,13,0
39,Carlos Omabegho,PIO FC,11,21,14,0
39,Víctor Mongil,PIO FC,11,21,5,1
39,Iker González,El Barrio,12,21,9,1
44,Oriol Boada,El Barrio,12,20,13,1
44,Lluís Alsina,1K FC,11,20,9,0
44,Franky Purtí,Rayo de Barcelona,11,20,13,0
47,Sergio 'Kun' Agüero,Kunisports,4,19,15,1
47,Nico Santos,Porcinos FC,11,19,15,1
49,Carlos Torrentbó,Kunisports,10,18,8,0
49,Nico Pareja,Rayo de Barcelona,6,18,7,0
49,Martín Mantovani,Saiyans FC,10,18,9,1
49,David Sánchez,Rayo de Barcelona,11,18,12,1
49,Pablo Gómez,PIO FC,6,18,6,3
49,Alberto de la Bella,Ultimate Móstoles,10,18,8,0
55,Nil Ayats,Jijantes FC,14,17,13,0
56,Iñaki Villalba,Kunisports,7,16,7,0
56,Pol Ortega,Saiyans FC,6,16,10,1
58,Aleix Lage,Ultimate Móstoles,12,15,8,1
58,Ian González,Los Troncos FC,12,15,10,2
58,Víctor Vidal,Ultimate Móstoles,12,15,5,0
58,Paco Tomás,1K FC,11,15,11,0
58,Xavi Pluvins,El Barrio,9,15,11,1
63,Gabriel Vidal,Aniquiladores FC,8,14,8,1
63,Kelvin Oliveira,Porcinos FC,2,14,8,0
63,Joan Luque,Porcinos FC,6,14,9,0
63,Juan Pedro Nzo,Rayo de Barcelona,8,14,6,0
63,Guillem Jaime,Rayo de Barcelona,3,14,9,0
68,Feliu Torrus,Jijantes FC,13,13,9,0
68,Pol Lechuga,Rayo de Barcelona,11,13,5,1
68,Daniel Pérez,xBuyer Team,14,13,7,1
68,Iván Pérez,Kunisports,11,13,6,1
68,Alfons Serra,Saiyans FC,11,13,8,1
68,Pol Román,Rayo de Barcelona,11,13,6,0
68,Carlos Ferres,Los Troncos FC,12,13,4,1
68,Aleix Hernando,Porcinos FC,12,13,9,0
76,Kilian Honorato,Ultimate Móstoles,11,12,4,1
76,Noel López,Kunisports,10,12,7,0
76,Lucca Ribeiro,Saiyans FC,8,12,6,1
79,Aarón Ropero,PIO FC,11,11,5,0
79,Mario Reyes,Aniquiladores FC,12,11,4,0
79,Sergi Gestí,Saiyans FC,5,11,10,0
