Ranking,Name,Team,PM,Sav.,GC,Pen.R,PSO.R
1,Marc Briones,Saiyans FC,12,97,40,1,4
2,Pol Lechuga,1K FC,12,95,55,3,4
2,Víctor Vidal,Jijantes FC,12,95,45,4,3
4,Hugo Eyre,El Barrio,12,73,33,1,1
5,Eloy Amoedo,Los Troncos FC,11,71,32,2,2
6,José Segovia,Ultimate Móstoles,13,58,41,3,4
7,Alberto Arnalot,Rayo de Barcelona,10,57,50,0,1
8,Dani Parra,PIO FC,7,55,35,0,1
9,Víctor Cócera,Aniquiladores FC,11,47,28,4,6
9,Gerard Vacas,Porcinos FC,9,47,22,1,4
11,Jorge Ibáñez,Kunisports,12,46,32,0,1
12,Manuel Martín,xBuyer Team,10,44,37,1,0
13,Adrià 'Capi' Gutiérrez,Porcinos FC,6,39,29,1,2
14,Joan Canet,Ultimate Móstoles,10,37,23,0,0
14,Rafa Leva,El Barrio,12,37,24,4,0
16,Dani Pérez,PIO FC,4,24,24,2,1
17,Pol Zapata,Kunisports,8,22,5,1,3
18,Sergi Aguilar,xBuyer Team,8,21,17,1,1
19,Juan Lorente,Aniquiladores FC,2,18,9,0,0
20,Álex Romero,Aniquiladores FC,8,17,16,0,0
21,Josep Corderas,Rayo de Barcelona,5,13,11,0,1
22,Iván Fajardo,Saiyans FC,1,5,1,0,3
23,Mario León,Jijantes FC,2,4,6,0,0
24,Enric Avellaneda,PIO FC,2,3,5,1,1
24,Yaroslav Toporkov,Los Troncos FC,1,3,0,0,0
